,,,,
Company,Date,Location,Service,Frequency 
UberEats ,21/09/2025,Home,Delivery,15 min
Uber,22/09/2025,Home,Travel ,25 min
Uber ,22/09/2025,Dicks sporting goods,Travel,25 min
Target,23/09/2025,Home,Delivery,15min
HBO Max,23/09/2025,Home,Streaming ,5 hrs
Disney+,23/09/2025,Home,Streaming ,2 hrs
TikTok,23/09/2025,Campus,Social Media,1 hr
HBO Max,24/09/2025,Home,Streaming,4 hrs 
TikTok,24/09/2025,Campus,Social Media,1 hr
GreenWave ,25/09/2025,Home,Purchase ,15 min
HBO Max,25/09/2025,Home,Streaming,7hrs
TikTok,25/09/2025,Home,Social Media,3 hra
Uber ,26/09/2025,Bourbon Street,Travel ,30 min
Uber ,26/09/2025,Home,Travel,25 min
Uber Eats,28/09/2025,Home,Delivery,10 min
Posh,29/09/2025,Home,Purchase,10 min
Soco,29/09/2025,Home,Purchase,5 min
HBO Max,29/09/2025,Home,Streaming,2hrs
TikTok,29/09/2025,Home,Social Media,3 hrs 
HBO Max,30/09/2025,Home,Streaming,5 hrs 
Disney+,30/09/2025,Home,Streaming ,2 hrs
TikTok,30/09/2025,Home,Social Media,2 hrs
Uber,1/10/2025,Home,Travel ,40 min
Uber,1/10/2025,Mall,Travel ,40 min
Uber Eats,1/10/2025,Home,Delivery,10 min
HBO Max,1/10/2025,Home,Streaming ,5 hrs
TikTok,1/10/2025,Home,Social Media,2 hrs
Uber ,2/10/2025,Home,Travel ,25 min
Spirit,2/10/2025,Airport ,Travel,2 hrs
Uber,2/10/2025,Airport,Travel,40 min
Flixbus,2/10/2025,Bus station ,Travel ,1 hr
Spotify ,2/10/2025,Plane/bus,Music streaming ,6 hrs 
Instagram ,2/10/2025,Bus/airport/home,Social media,2 hrs 
TikTok,2/10/2025,Bus/airport/home,Social Media,3 hrs 
TikTok,3/10/2025,Gainesville,Social Media,2 hrs
Instagram ,3/10/2025,Gainesville,Social Media,1 hr
TikTok,4/10/2025,Gainesville,Social Media,3 hrs
Instagram ,4/10/2025,Gainesville,Social Media,30 min
Uber,5/10/2025,Gainesville,Travel,10 min
Flixbus,5/10/2025,Gainesville ,Travel,3 hrs 
Google maps,5/10/2025,Bus,Navigating ,3 hrs 
Uber,5/10/2025,Orlando,Travel ,30 min
TikTok,5/10/2025,Bus,Social Media,4 hrs
Spirit,5/10/2025,Orlando,Travel,2 hrs
Uber,5/10/2025,New Orleans,Travel,30 min
HBO Max,6/10/2025,Home,Streaming ,7 hrs
Instagram ,7/10/2025,Campus,Social media,1hr
TikTok,7/10/2025,Campus,Social Media,1 hr
TikTok,7/10/2025,Home,Social Media,3 hrs
HBO Max,7/10/2025,Home,Streaming ,5 hrs
Disney+,7/10/2025,Home,Streaming ,1 hr
TikTok,8/10/2025,Home,Social Media,4 hrs
Instagram ,8/10/2025,Home,Social media,2 hrs
HBO Max,8/10/2025,Home,Streaming ,4 hrs
TikTok,8/10/2025,Campus,Social Media,1 hr
Spotify ,8/10/2025,Campus,Music streaming,1 hr
HBO Max,9/10/2025,Home,Streaming ,6 hrs
TikTok,9/10/2025,Home,Social Media,3 hrs
Instagram ,9/10/2025,Campus,Social Media,30 min
Instagram ,9/10/2025,Home,Social Media,1 hr
Spotify ,9/10/2025,Campus,Music streaming ,20 min
Spotify ,9/10/2025,Home,Music streaming ,3 hrs
HBO Max,10/10/2025,Home,Streaming ,7 hrs
TikTok,10/10/2025,Home,Social Media,3 hrs
Instagram ,10/10/2025,Home,Social Media,2 hrs
Spotify ,10/10/2025,Campus,Music streaming ,1 hr
Spotify ,10/10/2025,Home,Music streaming ,2 hr
Uber,10/10/2025,Campus,Travel ,30 min
Uber ,10/10/2025,Target,Travel ,35 min
HBO Max,11/10/2025,Home,Streaming ,6 hrs
Spotify ,11/10/2025,Uptown,Music streaming ,1 hr
Spotify ,11/10/2025,Home,Music streaming ,2 hrs
TikTok,11/10/2025,Home,Social Media,3 hrs
HBO Max,12/10/2025,Home,Streaming ,8 hrs
TikTok,12/10/2025,Home,Social Media,2 hrs
Spotify ,12/10/2025,Campus,Music streaming ,30 min
Instagram ,12/10/2025,Home,Social Media,1 hr
HBO Max,13/10/2025,Home,Streaming ,6 hrs
Spotify ,13/10/2025,Campus,Music streaming ,2 hrs
TikTok,13/10/2025,Campus,Social Media,1 hr
Amazon,13/10/2025,Home,Purchase ,1 hr
Shein,13/10/2025,Home/Campus,Purchase ,3 hrs
Netflix,13/10/2025,Home,Streaming ,2 hrs
HBO Max,14/10/2025,Home,Streaming ,4 hrs
Disney+,14/10/2025,Home,Streaming ,2 hrs
TikTok,14/10/2025,Campus,Social Media,1 hr
TikTok,14/10/2025,Home,Social Media,3 hrs
Instagram ,14/10/2025,Home,Social Media,1 hr
Spotify ,14/10/2025,Campus,Music streaming ,2 hrs
HBO Max,15/10/2025,Home,Streaming ,1 hr
TikTok,15/10/2025,Home,Social Media,2 hrs
TikTok,15/10/2025,Campus,Social Media,1 hr
Spotify ,15/10/2025,Campus,Music streaming ,1 hr
Instagram ,15/10/2025,Campus,Social Media,30 min
Instagram ,15/10/2025,Home,Social Media,30 min
Netflix,15/10/2025,Home,Streaming ,4 hrs
Spotify ,15/10/2025,Home,Music streaming ,2 hrs
HBO Max,16/10/2025,Home,Streaming ,4 hrs
Spotify ,16/10/2025,Campus,Music streaming ,1 hr
TikTok,16/10/2025,Campus,Social Media,1 hr
HBO Max,17/10/2025,Home,Streaming ,2 hrs
Spotify ,17/10/2025,Campus,Music streaming ,30 min
TikTok,17/10/2025,Campus,Social Media,1 hr
TikTok,17/10/2025,Home,Social Media,2 hrs
Instagram ,17/10/2025,Home,Social Media,1 hr
Netflix,17/10/2025,Home,Streaming ,3 hrs
HBO Max,18/10/2025,Home,Streaming ,2 hrs
Tiktok,18/10/2025,Home,Streaming ,3 hrs
Disney+,18/10/2025,Home,Streaming ,4 hrs